Layer                                         Output Shape                   GPU Latency (ms)     CPU Latency (ms)     GPU Power (mW)       CPU Power (mW)      
===========================================================================================================================================================
model.embed_tokens                            torch.Size([1, 6, 2048])       0.215008             0.348568             1244.160000          2488.320000         
model.rotary_emb                              torch.Size([1, 6, 64])         0.845312             0.974655             933.120000           2488.320000         
model.layers.0.input_layernorm                torch.Size([1, 6, 2048])       0.450816             0.606537             933.120000           2642.752000         
model.layers.0.self_attn.q_proj               torch.Size([1, 6, 2048])       0.230592             0.341177             933.504000           2954.880000         
model.layers.0.self_attn.k_proj               torch.Size([1, 6, 512])        0.176416             0.300884             933.120000           2488.320000         
model.layers.0.self_attn.v_proj               torch.Size([1, 6, 512])        0.169728             0.276089             933.120000           2487.296000         
model.layers.0.self_attn.o_proj               torch.Size([1, 6, 2048])       0.196000             0.332594             933.120000           3110.400000         
model.layers.0.post_attention_layernorm       torch.Size([1, 6, 2048])       0.445504             0.640869             933.120000           2331.840000         
model.layers.0.mlp.gate_proj                  torch.Size([1, 6, 8192])       0.430752             0.627756             1088.640000          2954.880000         
model.layers.0.mlp.act_fn                     torch.Size([1, 6, 8192])       0.118816             0.232458             933.120000           2642.752000         
model.layers.0.mlp.up_proj                    torch.Size([1, 6, 8192])       0.422880             0.569344             1089.088000          2488.320000         
model.layers.0.mlp.down_proj                  torch.Size([1, 6, 2048])       0.438688             0.598907             1088.640000          2643.840000         
model.layers.1.input_layernorm                torch.Size([1, 6, 2048])       0.450016             0.567675             933.120000           2488.320000         
model.layers.1.self_attn.q_proj               torch.Size([1, 6, 2048])       0.223712             0.322342             933.120000           2799.360000         
model.layers.1.self_attn.k_proj               torch.Size([1, 6, 512])        0.242336             0.349760             933.120000           2488.320000         
model.layers.1.self_attn.v_proj               torch.Size([1, 6, 512])        0.168128             0.274181             933.120000           2488.320000         
model.layers.1.self_attn.o_proj               torch.Size([1, 6, 2048])       0.190944             0.310898             933.120000           2643.840000         
model.layers.1.post_attention_layernorm       torch.Size([1, 6, 2048])       0.424768             0.551224             933.120000           2487.296000         
model.layers.1.mlp.gate_proj                  torch.Size([1, 6, 8192])       0.420736             0.611782             1089.088000          3110.400000         
model.layers.1.mlp.act_fn                     torch.Size([1, 6, 8192])       0.136704             0.280619             933.120000           2332.800000         
model.layers.1.mlp.up_proj                    torch.Size([1, 6, 8192])       0.416288             0.566244             933.120000           2488.320000         
model.layers.1.mlp.down_proj                  torch.Size([1, 6, 2048])       0.432160             0.583649             1088.640000          3110.400000         
model.layers.2.input_layernorm                torch.Size([1, 6, 2048])       0.435840             0.548840             933.120000           2642.752000         
model.layers.2.self_attn.q_proj               torch.Size([1, 6, 2048])       0.223296             0.353813             933.504000           2332.800000         
model.layers.2.self_attn.k_proj               torch.Size([1, 6, 512])        0.190528             0.318527             933.120000           2332.800000         
model.layers.2.self_attn.v_proj               torch.Size([1, 6, 512])        0.161440             0.266075             933.120000           2642.752000         
model.layers.2.self_attn.o_proj               torch.Size([1, 6, 2048])       0.185088             0.316620             933.504000           2488.320000         
model.layers.2.post_attention_layernorm       torch.Size([1, 6, 2048])       0.388224             0.508547             933.504000           2177.280000         
model.layers.2.mlp.gate_proj                  torch.Size([1, 6, 8192])       0.419392             0.576973             1088.640000          2332.800000         
model.layers.2.mlp.act_fn                     torch.Size([1, 6, 8192])       0.116480             0.229836             933.504000           2799.360000         
model.layers.2.mlp.up_proj                    torch.Size([1, 6, 8192])       0.423744             0.591993             1088.640000          2642.752000         
model.layers.2.mlp.down_proj                  torch.Size([1, 6, 2048])       0.441888             0.628710             1088.640000          2799.360000         
model.layers.3.input_layernorm                torch.Size([1, 6, 2048])       0.391360             0.501871             933.504000           2642.752000         
model.layers.3.self_attn.q_proj               torch.Size([1, 6, 2048])       0.189376             0.284433             933.120000           2488.320000         
model.layers.3.self_attn.k_proj               torch.Size([1, 6, 512])        0.161120             0.294209             933.504000           2799.360000         
model.layers.3.self_attn.v_proj               torch.Size([1, 6, 512])        0.182688             0.285625             933.504000           3109.120000         
model.layers.3.self_attn.o_proj               torch.Size([1, 6, 2048])       0.213920             0.366688             933.120000           2488.320000         
model.layers.3.post_attention_layernorm       torch.Size([1, 6, 2048])       0.434752             0.548601             933.504000           2488.320000         
model.layers.3.mlp.gate_proj                  torch.Size([1, 6, 8192])       0.415392             0.550985             1088.640000          2643.840000         
model.layers.3.mlp.act_fn                     torch.Size([1, 6, 8192])       0.107808             0.214338             933.504000           2954.880000         
model.layers.3.mlp.up_proj                    torch.Size([1, 6, 8192])       0.414784             0.540495             1089.088000          2332.800000         
model.layers.3.mlp.down_proj                  torch.Size([1, 6, 2048])       0.469280             0.663042             1088.640000          2332.800000         
model.layers.4.input_layernorm                torch.Size([1, 6, 2048])       0.453696             0.567675             933.504000           2643.840000         
model.layers.4.self_attn.q_proj               torch.Size([1, 6, 2048])       0.193376             0.295162             933.120000           2487.296000         
model.layers.4.self_attn.k_proj               torch.Size([1, 6, 512])        0.164800             0.287056             933.504000           3110.400000         
model.layers.4.self_attn.v_proj               torch.Size([1, 6, 512])        0.161472             0.266314             932.736000           2488.320000         
model.layers.4.self_attn.o_proj               torch.Size([1, 6, 2048])       0.192320             0.312090             933.120000           2487.296000         
model.layers.4.post_attention_layernorm       torch.Size([1, 6, 2048])       0.449920             0.571012             933.504000           2954.880000         
model.layers.4.mlp.gate_proj                  torch.Size([1, 6, 8192])       0.428480             0.621796             1089.088000          2177.280000         
model.layers.4.mlp.act_fn                     torch.Size([1, 6, 8192])       0.112416             0.221491             932.736000           2488.320000         
model.layers.4.mlp.up_proj                    torch.Size([1, 6, 8192])       0.412640             0.564814             1089.088000          2954.880000         
model.layers.4.mlp.down_proj                  torch.Size([1, 6, 2048])       0.444992             0.605822             1089.088000          2642.752000         
model.layers.5.input_layernorm                torch.Size([1, 6, 2048])       0.443872             0.561476             933.120000           2643.840000         
