Layer                                         Output Shape                   GPU Latency (ms)     CPU Latency (ms)     GPU Power (mW)       CPU Power (mW)      
===========================================================================================================================================================
model.embed_tokens                            torch.Size([1, 1, 2048])       0.394976             0.922203             621.824000           3109.120000         
model.rotary_emb                              torch.Size([1, 1, 128])        2.393312             2.641916             621.824000           3165.158400         
model.layers.0.input_layernorm                torch.Size([1, 1, 2048])       0.814944             0.971794             621.824000           3263.232000         
model.layers.0.self_attn.q_proj               torch.Size([1, 1, 2048])       0.738176             1.006603             621.824000           3387.545600         
model.layers.0.self_attn.k_proj               torch.Size([1, 1, 2048])       0.600896             0.821352             621.781333           3418.624000         
model.layers.0.self_attn.v_proj               torch.Size([1, 1, 2048])       0.637056             0.842333             621.568000           3510.976000         
model.layers.0.self_attn.o_proj               torch.Size([1, 1, 2048])       0.698784             0.906944             776.960000           3572.544000         
model.layers.0.post_attention_layernorm       torch.Size([1, 1, 2048])       0.841216             0.990868             973.478400           3571.562667         
model.layers.0.mlp.experts.8.gate_proj        torch.Size([1, 1408])          0.392192             0.541449             683.724800           3883.520000         
model.layers.0.mlp.experts.8.act_fn           torch.Size([1, 1408])          0.184384             0.285387             776.960000           3883.200000         
model.layers.0.mlp.experts.8.up_proj          torch.Size([1, 1408])          0.427072             0.546455             808.038400           3883.200000         
model.layers.0.mlp.experts.8.down_proj        torch.Size([1, 2048])          0.581792             0.765562             932.121600           3883.200000         
model.layers.0.mlp.experts.16.gate_proj       torch.Size([1, 1408])          0.470816             0.595570             807.897600           4193.856000         
model.layers.0.mlp.experts.16.act_fn          torch.Size([1, 1408])          0.205024             0.331402             931.968000           4193.856000         
model.layers.0.mlp.experts.16.up_proj         torch.Size([1, 1408])          0.404896             0.524044             931.968000           4192.819200         
model.layers.0.mlp.experts.16.down_proj       torch.Size([1, 2048])          0.423744             0.607967             1056.230400          4192.128000         
model.layers.0.mlp.experts.33.gate_proj       torch.Size([1, 1408])          0.374560             0.596046             725.248000           3832.202667         
model.layers.0.mlp.experts.33.act_fn          torch.Size([1, 1408])          0.139136             0.236273             776.960000           3883.200000         
model.layers.0.mlp.experts.33.up_proj         torch.Size([1, 1408])          0.350784             0.461578             839.116800           3883.200000         
model.layers.0.mlp.experts.33.down_proj       torch.Size([1, 2048])          0.515072             0.692844             994.508800           3883.200000         
model.layers.0.mlp.experts.44.gate_proj       torch.Size([1, 1408])          0.350784             0.554323             808.038400           3883.840000         
model.layers.0.mlp.experts.44.act_fn          torch.Size([1, 1408])          0.126144             0.264645             932.352000           3883.200000         
model.layers.0.mlp.experts.44.up_proj         torch.Size([1, 1408])          0.342976             0.493288             932.352000           3883.200000         
model.layers.0.mlp.experts.44.down_proj       torch.Size([1, 2048])          0.363008             0.511646             1056.486400          3883.200000         
model.layers.0.mlp.shared_expert.gate_proj    torch.Size([1, 5632])          0.834336             1.026154             808.089600           3728.486400         
model.layers.0.mlp.shared_expert.act_fn       torch.Size([1, 5632])          0.121440             0.217199             1087.520000          3727.872000         
model.layers.0.mlp.shared_expert.up_proj      torch.Size([1, 5632])          0.774656             0.943422             1366.758400          3726.643200         
model.layers.0.mlp.shared_expert.down_proj    torch.Size([1, 2048])          0.966144             1.220942             1738.803200          3725.107200         
model.layers.0.mlp.shared_expert_gate         torch.Size([1, 1])             0.286016             0.411987             2017.600000          3723.648000         
model.layers.1.input_layernorm                torch.Size([1, 1, 2048])       0.592576             0.719309             2152.106667          3723.468800         
model.layers.1.self_attn.q_proj               torch.Size([1, 1, 2048])       0.455520             0.563622             2121.066667          3723.264000         
model.layers.1.self_attn.k_proj               torch.Size([1, 1, 2048])       0.511936             0.710249             2234.688000          3723.264000         
model.layers.1.self_attn.v_proj               torch.Size([1, 1, 2048])       0.427584             0.584602             2378.752000          3723.264000         
model.layers.1.self_attn.o_proj               torch.Size([1, 1, 2048])       0.508704             0.719309             2482.176000          3722.342400         
model.layers.1.post_attention_layernorm       torch.Size([1, 1, 2048])       0.545440             0.676870             2453.088000          3732.672000         
model.layers.1.mlp.experts.0.gate_proj        torch.Size([1, 1408])          0.348000             0.519276             2327.424000          3723.264000         
