Layer                                         Output Shape                   GPU Latency (ms)     CPU Latency (ms)     GPU Power (mW)       CPU Power (mW)      
===========================================================================================================================================================
model.embed_tokens                            torch.Size([1, 5, 2048])       15.814400            16.222954            311.424000           1245.184000         
model.rotary_emb                              torch.Size([1, 5, 128])        79.759842            80.271482            311.402667           1321.475137         
model.layers.0.input_layernorm                torch.Size([1, 5, 2048])       0.382368             1.549482             311.300923           1634.168615         
model.layers.0.self_attn.q_proj               torch.Size([1, 5, 2048])       1.004192             2.227783             389.120000           1847.560000         
model.layers.0.self_attn.k_proj               torch.Size([1, 5, 2048])       0.946752             2.752304             535.815111           2108.053333         
model.layers.0.self_attn.v_proj               torch.Size([1, 5, 2048])       0.988288             2.535343             738.640000           2273.544000         
model.layers.0.self_attn.o_proj               torch.Size([1, 5, 2048])       0.990304             2.806425             846.328889           2469.568000         
model.layers.0.post_attention_layernorm       torch.Size([1, 5, 2048])       0.437920             2.279520             891.814957           2621.395478         
model.layers.0.mlp.gate                       torch.Size([5, 60])            0.180512             1.638174             776.960000           2797.056000         
model.layers.0.mlp.experts.0.gate_proj        torch.Size([1, 1408])          0.611168             2.256632             811.491556           2917.781333         
model.layers.0.mlp.experts.0.act_fn           torch.Size([1, 1408])          1.512992             1.846313             839.116800           3106.560000         
model.layers.0.mlp.experts.0.up_proj          torch.Size([1, 1408])          0.601728             2.372265             880.298667           3313.664000         
model.layers.0.mlp.experts.0.down_proj        torch.Size([1, 2048])          1.135680             1.493454             931.968000           3416.864000         
model.layers.0.mlp.experts.1.gate_proj        torch.Size([0, 1408])          0.005632             1.548529             931.968000           3455.680000         
model.layers.0.mlp.experts.1.act_fn           torch.Size([0, 1408])          1.493088             1.787663             931.968000           3572.544000         
model.layers.0.mlp.experts.1.up_proj          torch.Size([0, 1408])          0.546976             0.927925             854.304000           3572.544000         
model.layers.0.mlp.experts.1.down_proj        torch.Size([0, 2048])          1.460640             1.742601             776.640000           3572.544000         
model.layers.0.mlp.experts.2.gate_proj        torch.Size([1, 1408])          1.013120             1.311779             776.640000           3571.256000         
model.layers.0.mlp.experts.2.act_fn           torch.Size([1, 1408])          0.341920             0.713110             776.640000           3571.072000         
model.layers.0.mlp.experts.2.up_proj          torch.Size([1, 1408])          0.604960             2.321720             834.888000           3571.072000         
model.layers.0.mlp.experts.2.down_proj        torch.Size([1, 2048])          1.033408             1.310110             931.680000           3571.072000         
model.layers.0.mlp.experts.3.gate_proj        torch.Size([1, 1408])          2.081216             2.400637             931.584000           3777.557333         
model.layers.0.mlp.experts.3.act_fn           torch.Size([1, 1408])          0.307584             0.680447             931.584000           3880.000000         
model.layers.0.mlp.experts.3.up_proj          torch.Size([1, 1408])          0.607008             2.350807             931.584000           4035.200000         
model.layers.0.mlp.experts.3.down_proj        torch.Size([1, 2048])          1.018592             1.292706             1048.032000          4015.800000         
model.layers.0.mlp.experts.4.gate_proj        torch.Size([0, 1408])          0.005600             1.389980             1055.795200          3911.040000         
model.layers.0.mlp.experts.4.act_fn           torch.Size([0, 1408])          0.005696             1.756668             931.584000           3880.000000         
model.layers.0.mlp.experts.4.up_proj          torch.Size([0, 1408])          0.005696             1.739025             931.584000           3880.800000         
model.layers.0.mlp.experts.4.down_proj        torch.Size([0, 2048])          0.005632             1.705885             931.584000           3881.600000         
model.layers.0.mlp.experts.5.gate_proj        torch.Size([0, 1408])          0.005856             1.517534             807.564800           3881.600000         
model.layers.0.mlp.experts.5.act_fn           torch.Size([0, 1408])          0.005440             1.760483             776.640000           3881.600000         
model.layers.0.mlp.experts.5.up_proj          torch.Size([0, 1408])          0.005376             1.666784             776.640000           3881.600000         
model.layers.0.mlp.experts.5.down_proj        torch.Size([0, 2048])          1.503360             1.804829             776.640000           3881.600000         
model.layers.0.mlp.experts.6.gate_proj        torch.Size([0, 1408])          0.005696             1.588821             737.808000           3881.600000         
model.layers.0.mlp.experts.6.act_fn           torch.Size([0, 1408])          0.005696             1.623631             621.312000           4036.864000         
model.layers.0.mlp.experts.6.up_proj          torch.Size([0, 1408])          1.493408             1.841545             621.312000           4036.864000         
model.layers.0.mlp.experts.6.down_proj        torch.Size([0, 2048])          0.481376             0.863314             621.312000           4130.022400         
model.layers.0.mlp.experts.7.gate_proj        torch.Size([0, 1408])          0.005632             1.611710             621.312000           4036.864000         
model.layers.0.mlp.experts.7.act_fn           torch.Size([0, 1408])          1.507520             1.831770             621.312000           4036.864000         
model.layers.0.mlp.experts.7.up_proj          torch.Size([0, 1408])          0.489984             0.868320             621.312000           4036.864000         
model.layers.0.mlp.experts.7.down_proj        torch.Size([0, 2048])          0.005696             1.716137             621.312000           3912.652800         
model.layers.0.mlp.experts.8.gate_proj        torch.Size([2, 1408])          2.164480             2.485514             621.312000           3804.368000         
model.layers.0.mlp.experts.8.act_fn           torch.Size([2, 1408])          0.426752             0.832796             621.312000           3765.920000         
model.layers.0.mlp.experts.8.up_proj          torch.Size([2, 1408])          0.683808             2.310753             673.088000           3745.130667         
model.layers.0.mlp.experts.8.down_proj        torch.Size([2, 2048])          1.497120             1.784801             798.829714           3726.336000         
model.layers.0.mlp.experts.9.gate_proj        torch.Size([0, 1408])          0.005792             1.580000             854.304000           3726.336000         
model.layers.0.mlp.experts.9.act_fn           torch.Size([0, 1408])          0.286816             0.676632             776.640000           3726.336000         
model.layers.0.mlp.experts.9.up_proj          torch.Size([0, 1408])          0.005824             1.724005             776.640000           3726.336000         
model.layers.0.mlp.experts.9.down_proj        torch.Size([0, 2048])          0.547072             0.918150             776.640000           3726.336000         
model.layers.0.mlp.experts.10.gate_proj       torch.Size([1, 1408])          0.903936             1.214743             776.640000           3862.192000         
model.layers.0.mlp.experts.10.act_fn          torch.Size([1, 1408])          0.316256             0.739336             776.640000           3881.600000         
model.layers.0.mlp.experts.10.up_proj         torch.Size([1, 1408])          0.607168             2.249956             798.829714           3815.058286         
model.layers.0.mlp.experts.10.down_proj       torch.Size([1, 2048])          1.048448             1.342058             931.913143           3815.058286         
model.layers.0.mlp.experts.11.gate_proj       torch.Size([0, 1408])          0.005696             1.669168             931.584000           3881.600000         
model.layers.0.mlp.experts.11.act_fn          torch.Size([0, 1408])          0.005664             1.796007             931.584000           4035.200000         
model.layers.0.mlp.experts.11.up_proj         torch.Size([0, 1408])          0.501536             0.883818             776.320000           4190.400000         
model.layers.0.mlp.experts.11.down_proj       torch.Size([0, 2048])          0.005696             1.230478             776.320000           4345.600000         
model.layers.0.mlp.experts.12.gate_proj       torch.Size([0, 1408])          0.005632             1.672029             776.320000           4345.600000         
model.layers.0.mlp.experts.12.act_fn          torch.Size([0, 1408])          1.480288             1.788855             776.320000           4345.600000         
model.layers.0.mlp.experts.12.up_proj         torch.Size([0, 1408])          1.492544             1.788139             698.688000           4500.800000         
model.layers.0.mlp.experts.12.down_proj       torch.Size([0, 2048])          0.484960             0.864983             621.056000           4501.171200         
model.layers.0.mlp.experts.13.gate_proj       torch.Size([0, 1408])          0.005600             1.665354             621.056000           4501.913600         
model.layers.0.mlp.experts.13.act_fn          torch.Size([0, 1408])          0.281408             0.674725             621.056000           4502.656000         
model.layers.0.mlp.experts.13.up_proj         torch.Size([0, 1408])          0.005696             1.735926             621.248000           4386.208000         
model.layers.0.mlp.experts.13.down_proj       torch.Size([0, 2048])          1.474208             1.826763             621.312000           4347.392000         
model.layers.0.mlp.experts.14.gate_proj       torch.Size([0, 1408])          0.005696             1.666546             621.312000           4269.760000         
model.layers.0.mlp.experts.14.act_fn          torch.Size([0, 1408])          0.310016             0.695467             621.312000           4192.128000         
model.layers.0.mlp.experts.14.up_proj         torch.Size([0, 1408])          0.005664             1.703978             543.648000           4192.128000         
model.layers.0.mlp.experts.14.down_proj       torch.Size([0, 2048])          1.486624             1.821756             465.984000           4192.128000         
model.layers.0.mlp.experts.15.gate_proj       torch.Size([1, 1408])          0.942304             1.237869             582.480000           4036.864000         
model.layers.0.mlp.experts.15.act_fn          torch.Size([1, 1408])          0.312992             0.692844             621.312000           4036.864000         
model.layers.0.mlp.experts.15.up_proj         torch.Size([1, 1408])          2.071392             2.354622             621.312000           4036.864000         
model.layers.0.mlp.experts.15.down_proj       torch.Size([1, 2048])          1.085664             1.374960             754.313143           3992.502857         
model.layers.0.mlp.experts.16.gate_proj       torch.Size([1, 1408])          2.069888             2.379417             820.681143           3968.685714         
model.layers.0.mlp.experts.16.act_fn          torch.Size([1, 1408])          0.314560             0.692129             931.584000           4004.160000         
model.layers.0.mlp.experts.16.up_proj         torch.Size([1, 1408])          0.600480             2.321959             912.176000           3938.200000         
model.layers.0.mlp.experts.16.down_proj       torch.Size([1, 2048])          1.068448             1.353502             931.584000           3880.000000         
model.layers.0.mlp.experts.17.gate_proj       torch.Size([1, 1408])          2.083680             2.384663             1020.306286          3880.000000         
model.layers.0.mlp.experts.17.act_fn          torch.Size([1, 1408])          0.350240             0.723362             1086.848000          3880.000000         
model.layers.0.mlp.experts.17.up_proj         torch.Size([1, 1408])          0.600960             2.342701             1086.848000          3880.000000         
model.layers.0.mlp.experts.17.down_proj       torch.Size([1, 2048])          1.103488             1.395464             1086.848000          3880.000000         
model.layers.0.mlp.experts.18.gate_proj       torch.Size([1, 1408])          2.076064             2.372980             1086.848000          3880.000000         
model.layers.0.mlp.experts.18.act_fn          torch.Size([1, 1408])          0.332832             0.712395             1086.848000          3880.000000         
model.layers.0.mlp.experts.18.up_proj         torch.Size([1, 1408])          0.604992             2.297878             1106.192000          3880.000000         
model.layers.0.mlp.experts.18.down_proj       torch.Size([1, 2048])          1.039232             1.387358             1164.000000          4034.368000         
model.layers.0.mlp.experts.19.gate_proj       torch.Size([0, 1408])          0.005632             1.607895             1138.133333          4059.392000         
model.layers.0.mlp.experts.19.act_fn          torch.Size([0, 1408])          0.280576             0.671864             1086.549333          4086.933333         
model.layers.0.mlp.experts.19.up_proj         torch.Size([0, 1408])          0.005664             1.774549             1086.848000          4035.200000         
model.layers.0.mlp.experts.19.down_proj       torch.Size([0, 2048])          1.504064             1.789093             931.584000           4035.200000         
model.layers.0.mlp.experts.20.gate_proj       torch.Size([1, 1408])          2.077248             2.428055             931.584000           4035.200000         
model.layers.0.mlp.experts.20.act_fn          torch.Size([1, 1408])          0.357024             0.732660             931.584000           4035.200000         
model.layers.0.mlp.experts.20.up_proj         torch.Size([1, 1408])          0.601536             2.281666             989.808000           3996.400000         
model.layers.0.mlp.experts.20.down_proj       torch.Size([1, 2048])          1.058944             1.340151             1086.848000          3880.000000         
model.layers.0.mlp.experts.21.gate_proj       torch.Size([0, 1408])          0.005664             1.608849             1086.848000          3880.000000         
model.layers.0.mlp.experts.21.act_fn          torch.Size([0, 1408])          0.281312             0.656128             1035.093333          3880.000000         
model.layers.0.mlp.experts.21.up_proj         torch.Size([0, 1408])          0.470432             0.837088             931.584000           3880.000000         
model.layers.0.mlp.experts.21.down_proj       torch.Size([0, 2048])          0.005696             1.678705             931.584000           3880.960000         
model.layers.0.mlp.experts.22.gate_proj       torch.Size([0, 1408])          0.005600             1.666784             900.531200           3757.388800         
model.layers.0.mlp.experts.22.act_fn          torch.Size([0, 1408])          0.291072             0.664711             776.320000           3829.845333         
model.layers.0.mlp.experts.22.up_proj         torch.Size([0, 1408])          1.465824             1.744747             776.560000           3765.152000         
model.layers.0.mlp.experts.22.down_proj       torch.Size([0, 2048])          1.493280             1.796007             776.640000           3757.388800         
model.layers.0.mlp.experts.23.gate_proj       torch.Size([1, 1408])          0.895296             1.247644             776.520000           3881.600000         
model.layers.0.mlp.experts.23.act_fn          torch.Size([1, 1408])          0.313504             0.686884             776.400000           3881.600000         
model.layers.0.mlp.experts.23.up_proj         torch.Size([1, 1408])          0.604448             2.315044             815.176000           3881.600000         
model.layers.0.mlp.experts.23.down_proj       torch.Size([1, 2048])          1.075040             1.375914             931.584000           3815.058286         
model.layers.0.mlp.experts.24.gate_proj       torch.Size([0, 1408])          0.005696             1.680374             931.584000           3765.152000         
model.layers.0.mlp.experts.24.act_fn          torch.Size([0, 1408])          0.282400             0.685215             931.584000           3881.600000         
model.layers.0.mlp.experts.24.up_proj         torch.Size([0, 1408])          0.005632             1.719952             838.553600           3819.494400         
model.layers.0.mlp.experts.24.down_proj       torch.Size([0, 2048])          0.005376             1.758337             776.640000           3726.336000         
model.layers.0.mlp.experts.25.gate_proj       torch.Size([0, 1408])          0.005632             1.694679             776.640000           3881.600000         
